species,Longitude,Latitude
Ae.albopictus,12.597542,49.676432
Ae.albopictus,14.66647,49.5332
Ae.albopictus,10.45,51.16
Ae.albopictus,12.2018,47.6041
Ae.albopictus,9.35,48.66
Ae.albopictus,9.16,50.65
Ae.albopictus,7.3,50.11
Ae.albopictus,21.82,39.07
Ae.albopictus,-3.74,40.46
Ae.albopictus,4.46,50.5
Ae.albopictus,13.3995,42.3498
Ae.albopictus,12.2464,44.1396
Ae.albopictus,12.5646,44.057
Ae.albopictus,12.2035,44.4183
Ae.albopictus,12.6551,45.9626
Ae.albopictus,16.2537,39.2982
Ae.albopictus,14.3311,41.0723
Ae.albopictus,13.3125,41.6775
Ae.albopictus,14.768,40.6824
Ae.albopictus,12.1076,42.4206
Ae.albopictus,12.2115,41.8172
Ae.albopictus,8.4645,44.2975
Ae.albopictus,10.2194,45.5411
Ae.albopictus,10.0226,45.1332
Ae.albopictus,9.5018,45.3138
Ae.albopictus,8.825,45.8205
Ae.albopictus,9.1865,45.4654
Ae.albopictus,9.2588,45.6235
Ae.albopictus,8.6116,44.9072
Ae.albopictus,7.6856,45.0709
Ae.albopictus,10.495,43.8376
Ae.albopictus,10.9078,43.9303
Ae.albopictus,11.1022,43.8777
Ae.albopictus,10.4016,43.7222
Ae.albopictus,10.3105,43.5484
Ae.albopictus,11.1123,42.7635
Ae.albopictus,12.3908,43.1107
Ae.albopictus,12.6426,42.5636
Ae.albopictus,12.2167,46.1424
Ae.albopictus,10.9916,45.438356
Ae.albopictus,12.3155,45.440847
Ae.albopictus,11.21,44.59
Ae.albopictus,19.5033,47.1624
Ae.albopictus,13.6387,45.0811
Ae.albopictus,13.5947,45.2271
Ae.albopictus,13.9373,45.2397
Ae.albopictus,20.3785,39.4935
Ae.albopictus,19.8306,39.6118
Ae.albopictus,23.5413,41.0909
Ae.albopictus,21.3798,38.7084
Ae.albopictus,23.7186,37.9168
Ae.albopictus,23.7293,37.9837
Ae.albopictus,23.7986,38.0213
Ae.albopictus,23.75303,38.01307
Ae.albopictus,23.865,23.75504
Ae.albopictus,23.7478,37.9305
Ae.albopictus,23.7038,38.0307
Ae.albopictus,23.7536,38.0426
Ae.albopictus,23.6987,37.9556
Ae.albopictus,23.9284,37.8405
Ae.albopictus,23.6183,37.9617
Ae.albopictus,23.8227,38.0833
Ae.albopictus,23.8726,37.9011
Ae.albopictus,23.5008,38.075
Ae.albopictus,23.6502,37.9451
Ae.albopictus,23.7766,38.0602
Ae.albopictus,23.8028,37.8334
Ae.albopictus,23.8319,38.0329
Ae.albopictus,13.7362,45.5791
Ae.albopictus,13.7883,45.8549
Ae.albopictus,13.8125,45.54903
Ae.albopictus,13.6227,45.5307
Ae.albopictus,13.6041,45.4705
Ae.albopictus,13.7301,45.54805
Ae.albopictus,13.6552,45.4892
Ae.albopictus,13.6413,45.8442
Ae.albopictus,13.7367,45.4797
Ae.albopictus,13.5496,45.99205
Ae.albopictus,13.8692,45.5216
Ae.albopictus,14.2646,45.8604
Ae.albopictus,14.50807,46.0564
Ae.albopictus,13.8004,45.5076
Ae.albopictus,13.9166,45.4767
Ae.albopictus,13.6493,45.9549
Ae.albopictus,13.73201,45.9429
Ae.albopictus,13.5682,45.5283
Ae.albopictus,13.7749,45.5388
Ae.albopictus,13.7149,45.8894
Ae.albopictus,13.61202,45.4954
Ae.albopictus,13.7882,45.8895
Ae.albopictus,13.7924,45.5709
Ae.albopictus,13.8311,45.5246
Ae.albopictus,13.7249,45.5183
Ae.albopictus,13.64002,45.9283
Ae.albopictus,13.9625,45.8455
Ae.albopictus,13.5306,46.0195
Ae.albopictus,13.8327,45.7557
Ae.albopictus,14.2418,45.57009
Ae.albopictus,13.92809,45.6609
Ae.albopictus,14.5828,46.2114
Ae.albopictus,14.2133,45.7749
Ae.albopictus,14.0387,45.7199
Ae.albopictus,14.2973,45.9665
Ae.albopictus,2.21,46.22
Ae.albopictus,21.005,44.0165
Ae.albopictus,8.22,46.81
Ae.albopictus,7.41797,43.7356
Ae.albopictus,12.453389,41.902916
Ae.albopictus,16.632792,48.797359
Ae.albopictus,26.3825,40.9172
Ae.albopictus,26.9319,40.8623
Ae.albopictus,26.9094,40.8951
Ae.albopictus,10.8855,45.9178
Ae.albopictus,10.8426,45.8885
Ae.albopictus,2.010666667,41.43894444
Ae.albopictus,2.078861111,41.50036111
Ae.albopictus,-0.754805556,37.978
Ae.albopictus,2.03125,41.49233333
Ae.albopictus,2.003194444,41.30316667
Ae.albopictus,1.97675,41.28038889
Ae.albopictus,2.045166667,41.38091667
Ae.albopictus,1.811222222,41.23477778
Ae.albopictus,2.178972222,41.53486111
Ae.albopictus,2.1885,41.48230556
Ae.albopictus,1.861194444,41.40711111
Ae.albopictus,1.975916667,41.44716667
Ae.albopictus,2.093138889,41.33047222
Ae.albopictus,1.967138889,41.41330556
Ae.albopictus,1.902138889,41.51608333
Ae.albopictus,2.015083333,41.36683333
Ae.albopictus,1.870666667,41.53888889
Ae.albopictus,2.218222222,41.43058333
Ae.albopictus,2.247416667,41.45011111
Ae.albopictus,1.672805556,41.20833333
Ae.albopictus,1.956916667,41.52705556
Ae.albopictus,2.085638889,41.61616667
Ae.albopictus,2.179222222,41.58861111
Ae.albopictus,2.213527778,41.5405
Ae.albopictus,2.009861111,41.39361111
Ae.albopictus,1.775416667,41.25908333
Ae.albopictus,2.847583333,41.69877778
Ae.albopictus,2.792083333,41.67425
Ae.albopictus,2.78,41.79025
Ae.albopictus,2.732611111,41.77702778
Ae.albopictus,2.600305556,41.61975
Ae.albopictus,2.719,41.70205556
Ae.albopictus,2.356527778,41.48955556
Ae.albopictus,2.400555556,41.55552778
Ae.albopictus,0.508194444,41.36388889
Ae.albopictus,1.245444444,41.119
Ae.albopictus,2.242861111,41.52575
Ae.albopictus,-0.683222222,37.97744444
Ae.albopictus,4.4024,51.2194
Ae.albopictus,17.2149,44.7755
Ae.albopictus,15.2329,44.1193
Ae.albopictus,16.4401,43.5081
Ae.albopictus,18.0944,42.6506
Ae.albopictus,2.1581,49.0615
Ae.albopictus,2.9993,48.84108
Ae.albopictus,0.1712,48.8798
Ae.albopictus,7.4975,43.7744
Ae.albopictus,7.264838,43.715689
Ae.albopictus,19.2686,42.4425
Ae.albopictus,19.097113,42.095388
Ae.albopictus,19.0444,42.1436
Ae.albopictus,19.2242,41.9297
Ae.albopictus,18.670218,42.393037
Ae.albopictus,18.8425,42.28805
Ae.albopictus,19.7856,42.7387
Ae.albopictus,18.7422,42.4575
Ae.albopictus,18.533377,42.454787
Ae.albopictus,4.4937,52.0207
Ae.albopictus,4.7884,52.5205
Ae.albopictus,5.1145,52.0917
Ae.albopictus,1.3776,41.1408
Ae.albopictus,8.8004,46.3317
Ae.albopictus,20.0822,39.5638
Ae.albopictus,16.3738,48.2081
Ae.albopictus,-0.6769,48.7965
Ae.albopictus,4.6695,52.2904
Ae.albopictus,13.5684853,42.8585553
Ae.albopictus,13.35139,43.57939
Ae.albopictus,13.54909,43.46131
Ae.albopictus,13.3285,43.60416
Ae.albopictus,13.8556218,43.0365738
Ae.albopictus,13.40268,43.62506
Ae.albopictus,13.0015,43.835
Ae.albopictus,12.7573782,43.9608774
Ae.albopictus,13.8697474,42.993925
Ae.albopictus,13.21801,43.52639
Ae.albopictus,13.62521,43.44153
Ae.albopictus,13.43287,43.30478
Ae.albopictus,13.13457,43.76736
Ae.albopictus,13.623166,43.4959113
Ae.albopictus,12.89055,43.90796
Ae.albopictus,13.6634,43.43171
Ae.albopictus,13.7892431,43.1645787
Ae.albopictus,13.75908,43.26016
Ae.albopictus,12.89623,43.75197
Ae.albopictus,13.87568,42.94913
Ae.albopictus,13.1834215,43.2257968
Ae.albopictus,13.62043,43.52276
Ae.albopictus,13.7713376,42.875275
Ae.albopictus,12.87068725,45.59580554
Ae.albopictus,12.44585216,45.55493685
Ae.albopictus,12.21147537,45.51290317
Ae.albopictus,12.15378642,45.42266496
Ae.albopictus,12.1616292,45.3451781
Ae.albopictus,12.3223418,45.13213033
Ae.albopictus,12.12370276,45.1348967
Ae.albopictus,11.68069839,45.55806951
Ae.albopictus,11.7881155,45.54124722
Ae.albopictus,11.9336602,45.4247522
Ae.albopictus,11.66591406,45.24865941
Ae.albopictus,11.46236658,45.03046879
Ae.albopictus,11.78288519,45.10759419
Ae.albopictus,11.5556234,45.2131637
Ae.albopictus,11.99479043,45.29795062
Ae.albopictus,11.28819466,45.0269732
Ae.albopictus,11.43602729,44.95497042
Ae.albopictus,7.720825,47.970281
Ae.albopictus,9.00916667,39.13138889
Ae.albopictus,9.0143282,39.2267043
Ae.albopictus,8.53805556,39.31
Ae.albopictus,9.04944444,39.26722222
Ae.albopictus,8.7710674,38.9670383
Ae.albopictus,9.1109948,39.2222481
Ae.albopictus,12.25111111,45.85222222
Ae.albopictus,7.31124,43.97423
Ae.albopictus,7.26392,43.91921
Ae.albopictus,7.16456,43.84899
Ae.albopictus,7.09223,43.8641
Ae.albopictus,6.89393,43.95528
Ae.albopictus,7.00559,43.94712
Ae.albopictus,7.08671,43.93624
Ae.albopictus,6.94572,43.79628
Ae.albopictus,6.80608,43.80597
Ae.albopictus,6.8528,43.69649
Ae.albopictus,6.84523,43.63999
Ae.albopictus,6.68795,43.45608
Ae.albopictus,6.63415,43.43985
Ae.albopictus,6.53625,43.49142
Ae.albopictus,6.56697,43.47038
Ae.albopictus,6.48608,43.50072
Ae.albopictus,6.4618,43.5376
Ae.albopictus,6.4824,43.4646
Ae.albopictus,6.54752,43.34082
Ae.albopictus,6.53442,43.25535
Ae.albopictus,6.52705,43.1744
Ae.albopictus,6.46262,43.15853
Ae.albopictus,6.42437,43.15355
Ae.albopictus,6.38063,43.14485
Ae.albopictus,6.23978,43.14038
Ae.albopictus,6.13973,43.12035
Ae.albopictus,6.15412,43.08247
Ae.albopictus,5.82167,43.10697
Ae.albopictus,5.70418,43.18562
Ae.albopictus,6.07387,43.40597
Ae.albopictus,6.3437,43.39235
Ae.albopictus,6.69255,43.62225
Ae.albopictus,6.75395,43.62267
Ae.albopictus,6.69755,43.537
Ae.albopictus,6.4524,43.41548
Ae.albopictus,5.64337,43.47145
Ae.albopictus,5.41,43.29861
Ae.albopictus,3.09042,43.21513
Ae.albopictus,3.79467,43.54843
Ae.albopictus,4.13333,43.71613
Ae.albopictus,5.05247,43.92207
Ae.albopictus,4.7239,44.21605
Ae.albopictus,2.85823,42.4756
Ae.albopictus,2.84783,42.5779
Ae.albopictus,2.91286,42.8401
Ae.albopictus,6.26798,45.55665
Ae.albopictus,7.51635,43.94349
Ae.albopictus,7.55314,44.00217
Ae.albopictus,7.58648,44.05631
Ae.albopictus,7.34941,43.76529
Ae.albopictus,7.37469,43.79037
Ae.albopictus,7.35496,43.83451
Ae.albopictus,7.35873,43.88178
Ae.albopictus,7.29307,43.86509
Ae.albopictus,7.29482,43.83529
Ae.albopictus,7.29609,43.80886
Ae.albopictus,7.23105,43.85687
Ae.albopictus,7.20029,43.82836
Ae.albopictus,7.18585,43.92529
Ae.albopictus,7.15424,43.96158
Ae.albopictus,7.10472,44.08336
Ae.albopictus,7.05299,44.1863
Ae.albopictus,7.16752,44.07
Ae.albopictus,7.30616,44.01047
Ae.albopictus,11.02888,45.86828
Ae.albopictus,8.79509,46.16642
Ae.albopictus,8.84988,46.17891
Ae.albopictus,8.91591,46.17395
Ae.albopictus,9.01651,46.17691
Ae.albopictus,8.86383,46.14654
Ae.albopictus,8.92679,46.05793
Ae.albopictus,8.92111,46.03286
Ae.albopictus,8.9019,46.00659
Ae.albopictus,8.85877,45.96979
Ae.albopictus,8.97173,46.03126
Ae.albopictus,8.97909,46.00191
Ae.albopictus,8.93457,45.98825
Ae.albopictus,8.94576,45.95569
Ae.albopictus,8.97319,45.93455
Ae.albopictus,8.98023,45.84273
Ae.albopictus,12.5459008,42.7006905
Ae.albopictus,12.26083,42.58861
Ae.albopictus,12.5747837,43.061298
Ae.albopictus,12.54212,43.07586
Ae.albopictus,12.03386,43.12087
Ae.albopictus,12.24746,43.46224
Ae.albopictus,12.31516,43.0864
Ae.albopictus,12.0385348,42.8749669
Ae.albopictus,12.78661,42.6205
Ae.albopictus,12.714661,42.949198
Ae.albopictus,12.3574783,42.8572074
Ae.albopictus,12.77902,43.23059
Ae.albopictus,12.578181,43.3079029
Ae.albopictus,12.3482094,42.9194907
Ae.albopictus,12.3292189,43.3488288
Ae.albopictus,12.5182392,42.5340651
Ae.albopictus,12.1039855,42.7186044
Ae.albopictus,12.1755573,43.1830837
Ae.albopictus,12.5016,43.09453
Ae.albopictus,12.17799,43.54794
Ae.albopictus,12.73642,42.74777
Ae.albopictus,12.75438,42.53672
Ae.albopictus,12.40394,42.77799
Ae.albopictus,12.32653,43.3045
Ae.albopictus,10.401,48.333
Ae.albopictus,11.621,48.151
Ae.albopictus,11.813,48.123
Ae.albopictus,11.319,49.115
Ae.albopictus,6.481,50.752
Ae.albopictus,9.192,48.886
Ae.albopictus,8.895,48.617
Ae.albopictus,9.087,48.534
Ae.albopictus,9.726,48.11
Ae.albopictus,9.0020771,39.2911358
Ae.albopictus,9.66759,45.69492
Ae.albopictus,9.5504627,45.599685
Ae.albopictus,15.549007,41.4718386
Ae.albopictus,12.14775946,43.78251087
Ae.albopictus,12.31358167,43.88011361
Ae.albopictus,12.2784632,43.90057323
Ae.albopictus,12.27335585,43.80685626
Ae.albopictus,12.37463136,43.91499338
Ae.albopictus,12.19763799,43.85930773
Ae.albopictus,10.03791141,45.08863508
Ae.albopictus,9.501930628,44.96740433
Ae.albopictus,9.962461934,44.8873046
Ae.albopictus,9.98013327,44.97381087
Ae.albopictus,9.596539124,44.77862201
Ae.albopictus,9.385855939,44.79202588
Ae.albopictus,9.461956212,45.00775979
Ae.albopictus,9.850694146,44.97557652
Ae.albopictus,9.608267126,45.09124526
Ae.albopictus,9.85552104,45.05357762
Ae.albopictus,9.796772698,44.89913106
Ae.albopictus,9.868405965,44.86630247
Ae.albopictus,9.427672039,45.05806486
Ae.albopictus,9.991589688,45.08822648
Ae.albopictus,9.455401383,44.76038474
Ae.albopictus,9.920652169,45.00028403
Ae.albopictus,9.568638533,44.70153112
Ae.albopictus,9.910077455,44.93423817
Ae.albopictus,9.553731702,44.93925917
Ae.albopictus,9.624164746,44.98772965
Ae.albopictus,9.558516726,45.00986647
Ae.albopictus,9.709444203,44.81635769
Ae.albopictus,9.778323021,44.81179684
Ae.albopictus,9.928847585,45.08949731
Ae.albopictus,9.343657856,44.93177835
Ae.albopictus,9.71779081,45.04142769
Ae.albopictus,9.411174518,44.92595056
Ae.albopictus,9.463792091,44.90785648
Ae.albopictus,9.702247733,44.97048337
Ae.albopictus,9.79593515,44.99328116
Ae.albopictus,9.611824783,44.91644191
Ae.albopictus,9.565644504,45.06349564
Ae.albopictus,9.739894506,44.92379233
Ae.albopictus,9.934006525,45.03014342
Ae.albopictus,9.498382021,45.06556089
Ae.albopictus,9.525956313,44.85768698
Ae.albopictus,9.843041721,44.78782007
Ae.albopictus,9.639333094,44.88978158
Ae.albopictus,10.01701769,45.03015496
Ae.albopictus,9.383538938,44.99070095
Ae.albopictus,9.578975589,44.52534261
Ae.albopictus,9.800740243,44.50189784
Ae.albopictus,10.1306659,44.59023824
Ae.albopictus,10.20748129,44.75111058
Ae.albopictus,10.38063595,44.94137196
Ae.albopictus,10.23874273,44.67951243
Ae.albopictus,10.05591011,44.86207474
Ae.albopictus,10.16432723,44.88087997
Ae.albopictus,10.20317612,44.84871379
Ae.albopictus,10.11184471,44.66856926
Ae.albopictus,10.23318063,44.61459828
Ae.albopictus,10.29871841,44.61790781
Ae.albopictus,10.08030033,44.73971782
Ae.albopictus,10.44450989,44.91980661
Ae.albopictus,10.39275475,44.70431595
Ae.albopictus,10.31291163,44.54295341
Ae.albopictus,10.13570465,44.80258084
Ae.albopictus,10.32759315,44.79363961
Ae.albopictus,9.909107318,44.74596517
Ae.albopictus,10.08578964,45.0131785
Ae.albopictus,10.21142796,44.99794185
Ae.albopictus,10.198869,44.69646126
Ae.albopictus,9.981371838,44.80399097
Ae.albopictus,9.972102206,44.64387472
Ae.albopictus,10.13855371,44.93769765
Ae.albopictus,10.43499888,44.86427933
Ae.albopictus,10.06749239,44.61126043
Ae.albopictus,10.34285035,44.90161577
Ae.albopictus,10.37219402,44.63418994
Ae.albopictus,9.983164517,44.69302345
Ae.albopictus,9.849351258,44.64289865
Ae.albopictus,10.15173793,45.01237733
Ae.albopictus,10.67889549,44.78407911
Ae.albopictus,10.62174314,44.48131818
Ae.albopictus,10.6187696,44.79611432
Ae.albopictus,10.53009305,44.45187088
Ae.albopictus,10.75262899,44.58895433
Ae.albopictus,10.48981427,44.52759283
Ae.albopictus,10.70186775,44.52285401
Ae.albopictus,10.41693942,44.43867925
Ae.albopictus,10.52688497,44.70332591
Ae.albopictus,10.41272555,44.55111524
Ae.albopictus,10.765574,44.76297848
Ae.albopictus,10.61676828,44.8816634
Ae.albopictus,10.68159826,44.90529748
Ae.albopictus,10.45962653,44.70781852
Ae.albopictus,10.70856259,44.8452733
Ae.albopictus,10.52537902,44.8530598
Ae.albopictus,10.51382141,44.62984394
Ae.albopictus,10.79839702,44.91446281
Ae.albopictus,10.63469737,44.69742599
Ae.albopictus,10.78786051,44.67015492
Ae.albopictus,10.78398245,44.71516847
Ae.albopictus,10.44086734,44.62136037
Ae.albopictus,10.46747102,44.75092904
Ae.albopictus,10.68990404,44.59879487
Ae.albopictus,10.54556268,44.38512552
Ae.albopictus,10.35585011,44.47523395
Ae.albopictus,10.53007438,44.57932593
Ae.albopictus,10.99615077,44.71966464
Ae.albopictus,11.04765526,44.75289726
Ae.albopictus,10.84151357,44.69966852
Ae.albopictus,11.14401991,44.8024747
Ae.albopictus,11.07281382,44.59817529
Ae.albopictus,10.9299136,44.56186949
Ae.albopictus,11.00143585,44.84030293
Ae.albopictus,11.00175742,44.92478347
